gwasID,Bolting,InitLeafLen,log_BbLe_max
6969,0,35,0
7526,0,34,1.386294361
6911,0,40,0
8420,1,30,1.386294361
8271,0,24,2.197224577
8222,0,36,0
6953,0,30,0.693147181
6928,0,33,0
6945,0,45,0
7523,0,35,0
6975,0,38,0
7298,1,35,1.791759469
7223,0,24,0
7521,0,33,0.693147181
6946,1,36,3.761200116
6909,0,27,1.945910149
6830,1,32,2.48490665
7033,0,30,0
8284,0,33,0.693147181
6962,1,36,4.219507705
6909,0,32,0
8306,0,24,0
6988,0,54,0
6979,1,30,3.871201011
6974,0,31,0
6972,1,41,1.098612289
8214,0,13,0
6968,0,29,0
6983,0,37,0
6709,0,38,0
8353,1,43,1.098612289
8310,1,37,0.693147181
8395,1,39,0
8386,0,26,0.693147181
8245,1,25,1.609437912
8329,1,28,3.401197382
8430,0,43,0
7516,0,33,0
6951,0,29,0
8285,0,34,0
6898,1,30,1.098612289
8313,1,23,0
8323,1,34,0
6243,1,39,0
6899,1,27,0
8378,0,30,0
8258,0,26,0
6960,0,35,0
7413,1,29,0.693147181
8259,0,34,0
6939,1,30,1.386294361
8230,0,33,0
8424,0,40,0
6906,1,22,2.079441542
6965,0,27,0
6985,1,38,0
7258,1,34,3.091042453
8426,1,20,0
6956,0,33,0
6942,1,39,2.995732274
8389,0,38,0
6937,0,40,0
6930,1,41,3.970291914
6959,0,27,0
8366,0,38,0
7275,1,20,0
7207,0,28,1.098612289
6987,1,38,2.397895273
6984,0,26,0
8314,0,25,0
7373,1,45,0
8247,0,26,0
6915,0,30,0
6920,0,23,0
7522,0,33,0
8369,0,30,0
7081,0,21,0
6976,0,30,0
8376,0,31,0
8419,0,39,0
6931,1,37,1.609437912
8351,0,26,0
8242,0,33,0
8239,1,44,0
8290,1,40,4.060443011
7287,1,33,1.609437912
6904,0,33,1.791759469
8283,0,21,0
7418,1,26,0
8300,0,26,0
8274,0,38,0
6964,0,23,0
6938,1,26,3.871201011
8304,1,22,1.791759469
8215,0,31,0
5719,0,33,2.995732274
6046,0,21,1.945910149
8412,1,42,4.143134726
7525,0,31,0
8326,0,39,0
6970,0,33,2.197224577
7296,0,30,0
6897,0,26,0
8213,1,38,0
8422,0,31,0
6944,1,42,0
6008,1,30,4.143134726
6901,0,20,0
6043,0,21,0
6008,1,28,4.521788577
8374,1,33,0.693147181
6906,1,25,4.510859507
8245,0,24,1.386294361
8236,0,20,0.693147181
6926,1,36,2.302585093
6911,0,30,0
8337,0,20,0
8241,0,37,1.386294361
8306,0,20,0.693147181
8259,0,27,0
8351,0,26,2.772588722
6910,1,40,4.418840608
6009,0,28,0
6945,0,33,0
8290,1,32,4.143134726
6966,0,30,1.386294361
6978,1,21,2.890371758
7523,0,26,3.36729583
8244,0,24,0
8325,1,39,4.204692619
6985,1,41,3.663561646
6040,0,23,1.098612289
8430,0,30,1.098612289
6900,0,24,2.079441542
8311,0,29,1.098612289
6953,0,31,0
6984,0,29,0
8271,0,24,1.609437912
6930,0,36,0
6922,1,22,0
8242,0,35,0
8274,0,36,0
9058,0,30,0
6940,1,24,0
6074,0,35,0
6042,1,37,3.044522438
7323,1,35,4.234106505
7461,0,21,3.258096538
7516,0,33,0
8395,0,43,0
8300,0,19,0
6932,1,22,3.871201011
6920,0,28,0
8246,0,30,0
6915,0,29,0
6977,0,27,0
8275,0,40,1.945910149
6016,0,37,0
8335,0,15,2.197224577
8386,0,27,0
6946,0,25,0.693147181
6919,0,14,2.302585093
6960,1,40,3.891820298
7526,0,33,0.693147181
8366,0,35,1.791759469
8412,1,23,3.401197382
8389,1,31,1.098612289
6979,1,35,4.094344562
6982,0,42,1.609437912
8270,1,41,1.609437912
8378,1,30,4.584967479
8235,0,15,0.693147181
6992,1,31,3.583518938
8310,1,34,2.944438979
8296,1,33,2.833213344
6937,1,51,4.33073334
6962,1,20,3.091042453
6897,0,33,1.098612289
7298,1,43,2.079441542
5719,0,26,3.496507561
7413,1,28,0
6964,0,22,0
6898,1,35,3.496507561
7015,1,43,3.091042453
6928,0,23,0
8388,0,35,3.17805383
6913,0,34,2.833213344
6981,1,35,3.970291914
8326,0,34,1.098612289
8343,0,28,1.098612289
6927,0,36,0
7275,1,15,0
6969,0,34,0
6988,0,53,0
6899,0,20,0
8214,0,15,0
6967,1,28,3.33220451
6963,1,40,0
6970,0,31,0
6971,0,39,0
8285,1,36,1.791759469
6974,0,29,0
6923,1,23,2.397895273
6921,0,21,0
8256,0,27,0
6942,1,31,3.988984047
8329,1,33,4.127134385
6975,0,36,0
6972,1,46,0.693147181
6983,0,31,0
6944,1,50,3.526360525
8230,0,36,0
8239,1,32,0
6931,1,40,3.36729583
8353,1,38,3.218875825
8365,1,25,2.079441542
7223,0,30,0
8369,0,21,0
8284,0,25,0
6958,1,34,2.833213344
7287,0,35,2.197224577
8426,1,21,1.609437912
6929,0,33,1.609437912
8313,0,21,0
7258,1,27,2.079441542
7417,0,28,0
6987,0,35,2.197224577
7327,0,36,0
9057,0,26,0
6965,0,30,0
7133,1,32,2.302585093
7515,0,25,0
6901,0,21,0
8334,0,32,0
6243,1,41,2.63905733
7207,1,27,0
6917,0,31,0
8237,0,32,0
8231,0,23,0
8249,0,22,0
6959,0,25,0
7373,0,39,1.098612289
6951,0,31,0
8234,0,32,0
7525,0,21,1.945910149
8258,0,16,0.693147181
6939,1,24,0
6039,0,30,0
6046,0,29,0
7521,0,30,0
7514,0,26,0
6907,0,27,0
7438,0,35,0
8420,1,30,0
8297,0,33,0
6830,0,28,0
6943,1,27,1.945910149
6936,1,42,2.564949357
8419,0,39,0
6904,0,31,0
8314,1,24,3.135494216
8312,0,31,1.609437912
7418,1,33,2.079441542
6709,1,25,2.772588722
8422,0,34,0
6976,0,36,1.945910149
6968,0,30,0
8247,0,29,0.693147181
6914,0,35,1.945910149
7186,1,24,2.772588722
7520,1,26,1.098612289
10022,0,34,1.098612289
7033,0,26,0.693147181
6909,0,22,0
5837,1,31,1.945910149
6961,0,35,2.197224577
8304,1,19,1.945910149
7522,0,32,2.397895273
7524,0,24,0
8243,0,35,3.850147602
8283,0,23,2.397895273
8376,0,35,0
8233,0,34,0
6980,0,27,0
6909,1,29,2.63905733
8213,1,29,2.890371758
8424,0,38,0
6938,0,39,0
7081,0,22,1.791759469
6916,1,36,4.477336814
6918,1,39,2.890371758
8215,0,30,1.791759469
8387,0,31,1.386294361
7517,0,30,0
6903,0,19,1.945910149
8222,0,37,1.098612289
8238,1,38,3.931825633
8354,1,36,3.970291914
7300,0,35,0.693147181
6933,0,30,0.693147181
7415,0,19,2.197224577
8323,1,35,0.693147181
6956,0,34,1.791759469
6924,0,22,0
7296,0,30,0
8222,0,43,1.945910149
6913,0,29,0
6243,0,33,1.386294361
8247,0,25,0
6981,1,27,4.219507705
6830,1,38,3.218875825
7015,0,40,0
8241,0,37,1.609437912
6962,1,19,1.791759469
6897,0,32,0
7516,0,41,4.17438727
6928,0,29,0
8213,1,30,2.302585093
8214,0,13,0
6964,0,21,2.48490665
6966,0,35,0
6921,0,27,0.693147181
8374,0,34,0
8312,1,33,1.945910149
6008,1,32,4.204692619
8412,0,37,0
7258,1,37,2.397895273
6987,0,30,3.784189634
7523,0,41,0
8238,1,30,0.693147181
8231,0,30,1.386294361
8323,0,31,0
6900,0,23,3.044522438
7081,1,27,1.386294361
6040,0,26,0.693147181
6709,0,31,0
6942,1,36,4.304065093
8246,0,28,0
7514,0,30,0
6940,1,23,0
8271,0,29,0
8306,0,20,0
8237,0,39,3.555348061
8386,0,25,0.693147181
8311,0,24,0
6923,1,24,3.555348061
6911,0,23,1.098612289
6910,1,34,3.850147602
8275,0,35,0
6968,0,30,0
8343,1,22,1.945910149
7327,0,45,0.693147181
6919,0,11,0
7417,0,25,0
6961,0,43,0.693147181
8378,0,33,1.791759469
8256,1,26,0
8235,0,20,0
6927,0,35,3.891820298
6932,1,21,3.17805383
6922,1,21,1.791759469
6915,0,25,1.386294361
8420,1,33,2.48490665
8233,0,27,1.098612289
8369,0,26,0
6939,1,27,2.564949357
7413,1,17,2.302585093
7186,1,40,3.135494216
7524,0,27,0.693147181
8284,0,25,0
6937,1,50,1.386294361
6943,1,29,3.784189634
8366,0,26,0
8242,0,38,3.091042453
10022,0,40,1.386294361
8290,1,29,2.772588722
8234,0,30,0.693147181
6975,1,39,2.833213344
8335,0,19,0.693147181
8419,1,25,3.465735903
6972,1,36,3.258096538
6903,0,20,2.890371758
7520,1,33,1.791759469
6914,0,30,0.693147181
6969,0,34,0
6904,0,25,0
6958,0,29,1.609437912
6909,0,22,0.693147181
7323,0,37,0
8313,0,30,0
8422,0,24,0
7438,1,33,0.693147181
7373,0,36,0
7033,0,26,0
8245,0,25,0
6043,0,20,0
6951,1,34,2.890371758
8304,1,26,0.693147181
6009,0,30,0
7223,0,31,0
6992,0,34,1.098612289
8244,0,22,3.761200116
6929,0,38,0
8387,0,30,0
6988,0,51,0
6936,0,43,3.912023005
6982,0,25,0
6074,0,40,0
6920,0,25,0
9057,0,25,0
6970,0,29,0
6918,0,25,0
6931,1,37,0
6909,0,33,0
6977,0,40,0
8354,0,34,1.945910149
7275,1,24,3.526360525
6930,1,39,4.442651256
7525,0,38,0.693147181
6974,0,28,0
6960,1,34,0.693147181
7418,1,26,2.833213344
8230,0,27,0
6906,1,23,3.433987204
6924,0,22,0
6899,1,23,1.386294361
8283,0,25,0
6917,0,33,1.098612289
9058,0,27,1.098612289
8426,1,26,1.098612289
5719,0,23,1.945910149
6985,1,28,3.044522438
8215,0,29,0
8285,1,28,1.791759469
6933,0,31,2.564949357
8236,0,15,0
8337,0,21,0
8395,1,40,2.302585093
7287,1,30,4.753590191
8310,0,30,0
6971,0,41,0
8300,0,23,0
6907,0,21,0
6945,0,34,3.912023005
6965,0,28,0
6946,1,34,1.386294361
8297,0,33,0
8365,1,30,3.931825633
5837,0,34,0
6978,1,19,1.098612289
8389,0,28,3.044522438
8296,1,30,0
8243,0,32,0
6956,0,30,0
8424,0,45,0
6980,0,21,0
6953,0,39,2.48490665
6938,0,29,0
8258,0,20,0
8326,0,37,3.218875825
8249,0,24,0
8314,0,23,2.772588722
6039,0,29,0.693147181
6016,0,36,1.098612289
6959,0,30,1.098612289
8351,0,30,0
8239,0,42,0.693147181
7517,0,43,3.091042453
6976,0,36,0.693147181
7515,0,29,0
8259,0,22,0.693147181
8329,1,27,3.761200116
8274,0,32,0
7300,0,35,1.098612289
7461,0,26,1.791759469
7296,0,32,0
6916,1,26,2.890371758
6926,1,38,2.833213344
7526,0,34,0.693147181
7298,0,34,0
6046,0,23,0
8388,1,30,3.555348061
7133,0,25,0
6984,1,31,3.496507561
8376,0,36,0
6979,1,28,3.80666249
7521,0,34,1.098612289
8353,1,31,2.944438979
7522,0,30,0
6042,0,35,0
7415,1,24,1.098612289
6967,1,26,1.609437912
8270,0,34,0
6901,0,22,0
8334,0,33,3.044522438
6898,1,31,3.737669618
