"gwasID","Bolting","InitLeafLen","log_BbLe_max","resid_size","resid_bolting"
10022,1,28,2.48490665,1.34425637713108,0.410258387402651
6039,0,33,2.079441542,0.836972738177494,1.48820103531196
8329,1,30,3.912023005,2.73064531974951,1.83737474240266
6914,0,30,3.583518938,2.40214125274951,2.99227843131179
6924,0,23,0.693147181,-0.345684560915702,0.101906674311794
6927,0,37,0,-1.32392362858528,-0.591240506688205
7298,1,45,2.48490665,0.998073371889244,0.410258387402662
6932,1,24,2.63905733,1.57986188189361,0.564409067402662
7296,1,33,0,-1.24246880382254,-2.07464826259734
6944,1,44,3.63758616,2.17111658807993,1.56293789740266
8310,1,35,2.890371758,1.60717554179609,0.815723495402662
6965,0,30,0,-1.18137768525049,-0.591240506688205
6974,0,24,2.944438979,1.88524353089361,2.35319847231179
7258,1,31,0,-1.20174139144118,-2.07464826259734
8314,1,24,2.833213344,1.77401789589361,0.758565081402662
8237,0,37,0,-1.32392362858528,-0.591240506688205
6008,1,28,3.526360525,2.38571025213088,1.45171226240266
6971,0,51,0,-1.60901551525486,-0.591240506688205
6968,0,24,0.693147181,-0.366048267106386,0.101906674311794
6917,0,35,0,-1.28319621620391,-0.591240506688205
8246,0,25,0.693147181,-0.386411973297071,0.101906674311794
7515,0,23,0,-1.0388317419157,-0.591240506688205
8234,0,25,1.945910149,0.866350994702929,1.35466964231179
6923,1,23,3.871201011,2.8323692690843,1.79655274840266
6961,0,38,0,-1.34428733477597,-0.591240506688205
6901,0,12,3.17805383,2.36322285618182,2.58681332331179
6243,0,38,2.63905733,1.29476999522403,2.04781682331179
6040,0,22,0,-1.01846803572502,-0.591240506688205
6074,0,38,0,-1.34428733477597,-0.591240506688205
8300,0,21,1.609437912,0.611333582465666,1.01819740531179
6915,0,30,0,-1.18137768525049,-0.591240506688205
7133,1,25,1.386294361,0.30673520670293,-0.688353901597338
7525,0,26,0,-1.09992286048775,-0.591240506688205
7417,0,26,0,-1.09992286048775,-0.591240506688205
8389,1,35,1.609437912,0.326241695796087,-0.465210350597338
7523,0,34,0,-1.26283251001323,-0.591240506688205
8419,1,39,3.871201011,2.50654997003335,1.79655274840266
6916,0,31,0,-1.20174139144118,-0.591240506688205
8388,1,32,1.945910149,0.72380505136814,-0.128738113597338
6910,1,30,1.791759469,0.610381783749508,-0.282888793597338
6919,0,15,0,-0.875922092390228,-0.591240506688205
6903,0,19,0,-0.957376917152965,-0.591240506688205
8222,0,41,0,-1.40537845334802,-0.591240506688205
8337,0,30,0,-1.18137768525049,-0.591240506688205
6904,0,36,0,-1.3035599223946,-0.591240506688205
6936,0,42,2.397895273,0.972153113461297,1.80665476631179
7521,0,23,0.693147181,-0.345684560915702,0.101906674311794
8326,0,40,0,-1.38501474715733,-0.591240506688205
8312,1,41,0,-1.40537845334802,-2.07464826259734
7438,0,41,0,-1.40537845334802,-0.591240506688205
8259,0,34,0,-1.26283251001323,-0.591240506688205
6940,1,18,0,-0.937013210962281,-2.07464826259734
8283,0,22,0,-1.01846803572502,-0.591240506688205
7522,0,30,0,-1.18137768525049,-0.591240506688205
8351,0,28,0,-1.14065027286912,-0.591240506688205
6909,0,36,1.098612289,-0.204947633394597,0.507371782311795
6982,1,28,1.098612289,-0.0420379838691232,-0.976035973597338
6009,0,26,0,-1.09992286048775,-0.591240506688205
6900,0,24,0,-1.05919544810639,-0.591240506688205
6938,0,30,0,-1.18137768525049,-0.591240506688205
7327,0,43,1.791759469,0.345653603270613,1.20051896231179
6939,1,27,1.791759469,0.671472902321561,-0.282888793597338
8311,1,27,0,-1.12028656667844,-2.07464826259734
8274,0,41,0,-1.40537845334802,-0.591240506688205
7461,0,25,1.098612289,0.0190531347029296,0.507371782311795
6992,1,30,3.713572067,2.53219438174951,1.63892380440266
6945,0,36,0,-1.3035599223946,-0.591240506688205
8215,0,32,0,-1.22210509763186,-0.591240506688205
6926,1,36,2.079441542,0.775881619605403,0.00479327940266198
6953,0,28,0,-1.14065027286912,-0.591240506688205
8247,0,27,0,-1.12028656667844,-0.591240506688205
7081,1,27,1.098612289,-0.021674277678439,-0.976035973597338
7415,1,14,0,-0.855558386199544,-2.07464826259734
6928,0,35,0,-1.28319621620391,-0.591240506688205
7524,0,30,0,-1.18137768525049,-0.591240506688205
8271,0,22,0,-1.01846803572502,-0.591240506688205
6922,1,20,1.791759469,0.814018845656351,-0.282888793597338
7300,0,31,0,-1.20174139144118,-0.591240506688205
8378,1,20,3.688879454,2.71113883065635,1.61423119140266
6960,1,32,0.693147181,-0.52895791663186,-1.38150108159734
9058,0,33,0,-1.24246880382254,-0.591240506688205
6929,0,30,0.693147181,-0.488230504250492,0.101906674311794
8334,0,40,1.098612289,-0.286402458157334,0.507371782311795
6956,0,35,0,-1.28319621620391,-0.591240506688205
8258,0,26,0,-1.09992286048775,-0.591240506688205
8412,1,31,3.688879454,2.48713806255882,1.61423119140266
8366,0,34,1.098612289,-0.164220221013229,0.507371782311795
8426,1,23,0,-1.0388317419157,-2.07464826259734
6970,0,34,3.091042453,1.82820994298677,2.49980194631179
6709,0,30,0,-1.18137768525049,-0.591240506688205
6906,1,25,0,-1.07955915429707,-2.07464826259734
6959,1,35,1.098612289,-0.184583927203913,-0.976035973597338
8214,0,15,0,-0.875922092390228,-0.591240506688205
8231,0,31,0,-1.20174139144118,-0.591240506688205
7015,1,33,3.044522438,1.80205363417746,0.969874175402662
7033,0,27,0,-1.12028656667844,-0.591240506688205
6977,0,26,0,-1.09992286048775,-0.591240506688205
