"GOout.GO","GOout.p_val"
"GO:0042775",0.081992
"GO:0090342",0.082387
"GO:0009768",0.082645
"GO:0032955",0.082654
"GO:0009056",0.082927
"GO:0009617",0.082939
"GO:0010500",0.082973
"GO:0005742",0.084417
"GO:0090696",0.084469
"GO:0008150",0.084728
"GO:0043022",0.084748
"GO:0090548",0.085453
"GO:0031351",0.086438
"GO:0051980",0.08721
"GO:0009955",0.08745
"GO:0034515",0.087842
"GO:1990825",0.087964
"GO:0031848",0.089338
"GO:0005753",0.08991
"GO:0010494",0.090638
"GO:1902325",0.090955
"GO:0048015",0.091196
"GO:0000707",0.09122
"GO:0090266",0.091339
"GO:0030026",0.091366
"GO:0045431",0.092338
"GO:0009447",0.092709
"GO:0031047",0.093023
"GO:0043161",0.093204
"GO:0006082",0.09388
"GO:0004802",0.093913
"GO:0071462",0.09427
"GO:0033355",0.094416
"GO:0004852",0.094617
"GO:0006780",0.094617
"GO:1901183",0.094817
"GO:1900056",0.095641
"GO:0035336",0.095863
"GO:0048257",0.095925
"GO:0000737",0.095925
"GO:0005507",0.096521
"GO:0071433",0.096649
"GO:0019372",0.096649
"GO:1990069",0.096683
"GO:0019240",0.096997
"GO:0044248",0.097609
"GO:0009753",0.098419
"GO:0005384",0.098616
"GO:0016464",0.098636
"GO:0006290",0.098829
"GO:0005576",0.098921
"GO:0034622",0.098947
"GO:0016279",0.09901
"GO:0012511",0.099209
"GO:0048468",0.09922
"GO:0009252",0.099592
"GO:1903424",0.099633
"GO:0016571",0.099721
"GO:0019853",0.099817
"GO:0016463",0.099908
"GO:0015186",0.100421
"GO:0034050",0.100858
"GO:0044283",0.100903
"GO:0033619",0.10133
"GO:0005777",0.101444
"GO:0000276",0.10214
"GO:0010119",0.102147
"GO:0009823",0.102178
"GO:0008047",0.102182
"GO:0019199",0.102279
"GO:0070401",0.10245
"GO:0051052",0.102503
"GO:0050891",0.102541
"GO:0103068",0.102572
"GO:0102953",0.102572
"GO:0051289",0.1026
"GO:0005634",0.103681
"GO:0000448",0.104417
"GO:0047874",0.105166
"GO:0000963",0.105442
"GO:0045943",0.105633
"GO:0045040",0.106852
"GO:0080019",0.106879
"GO:0030001",0.107261
"GO:0018279",0.107485
"GO:0070628",0.107601
"GO:0097573",0.107626
"GO:0035998",0.107824
"GO:0003934",0.107824
"GO:0009943",0.107929
"GO:1902553",0.107958
"GO:0044106",0.108469
"GO:0010048",0.108573
"GO:0004332",0.109121
"GO:0051453",0.109583
"GO:0010235",0.109918
"GO:0016324",0.110162
"GO:0016618",0.110683
"GO:0010158",0.110832
"GO:0006431",0.111045
"GO:0008198",0.111143
"GO:0019773",0.111991
"GO:0000209",0.112474
"GO:0010091",0.112599
"GO:0070822",0.112927
"GO:0071339",0.113246
"GO:0009416",0.113372
